conselho ;conselheiro;setor;posicao
Inclusão da Pessoa com Deficiencia;Alcemir da Cruz Belmiro;Sociedade Civil;Titular
Inclusão da Pessoa com Deficiencia;Edson Cordeiro Pacheco;Sociedade Civil; Suplente
Direitos do Idoso;Jucirema Quintanilha Cardim;Sociedade Civil;Titular
Direitos do Idoso;José Pereira;Sociedade Civil;Suplente
Direitos do Idoso;Gilda Maria Gomes Peixoto;Sociedade Civil;Titular
Direitos do Idoso;Milton Peixoto;Sociedade Civil;Suplente
Direitos do Idoso;Maria José Rocha Ricardo;Sociedade Civil;Titular
Direitos do Idoso;Maria Elisa Ferreira de Jesus;Sociedade Civil;Suplente
Direitos do Idoso;Benedito de Jesus dos Santos Braga;Sociedade Civil;Titular
Direitos do Idoso;José Eduardo Ferreira Caetano;Sociedade Civil;Suplente
Direitos do Idoso;Ricardo da Silva Araújo;Sociedade Civil;Titular
Direitos do Idoso;Marcelo Pizane Boldes;Sociedade Civil;Suplente
Direitos do Idoso;Amaro dos Santos Cruz;Sociedade Civil;Titular
Direitos do Idoso;Edná Sales;Sociedade Civil;Suplente
Direitos do Idoso;Marta Aparecida Vieira;Sociedade Civil;Titular
Direitos do Idoso;Antônio Carlos Rodrigues dos Santos;Sociedade Civil;Suplente
Direitos do Idoso;Rosalee Santos Crespo Istoe;Sociedade Civil;Titular
Direitos do Idoso;Fernanda Gonçalves Fernandes;Sociedade Civil;Suplente
Direitos do Idoso;Laura Burla Maciel;Poder Público;Titular
Direitos do Idoso;Nathália Chalita Ribeiro;Poder Público;Suplente
Direitos do Idoso;Carla Aparecida Gomes de Azeredo;Poder Público;Titular
Direitos do Idoso;Bianca da Silva Ferreira;Poder Público;Suplente
Direitos do Idoso;Alciene Azeredo de Souza;Poder Público;Titular
Direitos do Idoso;Oresten Soares de Almeida Júnior;Poder Público;Suplente
Direitos do Idoso;Mary Lúcia do Espírito Santo Pessanha;Poder Público;Titular
Direitos do Idoso;Ana Paula P. Oliveira Cordeiro;Poder Público;Suplente
Direitos do Idoso;Antônio Julião Pinheiro Neto;Poder Público;Titular
Direitos do Idoso;Renato Dumas de Oliveira;Poder Público;Suplente
Direitos do Idoso;Rogério Fernandes Ribeiro Gomes;Poder Público;Titular
Direitos do Idoso;Luiz Vagner Cunha Henriques;Poder Público;Suplente
Direitos do Idoso;Carlos Alberto Pessanha Dias;Poder Público;Titular
Direitos do Idoso;Wellington Passos;Poder Público;Suplente
Direitos do Idoso;Maria Cristina Torres Lima;Poder Público;Titular
Direitos do Idoso;Filipe Godoy Azeredo;Poder Público;Suplente
Criança e adolescente;Sana Gimenes Alvarenga Domingues;Poder Público;Titular
Criança e adolescente;Bernardo Berbert Molina;Poder Público;Suplente
Criança e adolescente;Kátia Beatriz Azevedo V. Noronha;Poder Público;Titular
Criança e adolescente;Iohana Fernanda Carneiro Barreto;Poder Público;Suplente
Criança e adolescente;Maria Auxiliadora de Sousa Pourbaix;Poder Público;Titular
Criança e adolescente;Maria Júlia Nunes Andrade;Poder Público;Suplente
Criança e adolescente;Fábio Gomes de Freitas Bastos;Poder Público;Titular
Criança e adolescente;Ricardo da Silva Viana;Poder Público;Suplente
Criança e adolescente;Daniela Vivas Gonçalves;Poder Público;Titular
Criança e adolescente;Maria de Jesus Abílio Nogueira;Poder Público;Suplente
Criança e adolescente;Cláudio Freitas Artiles;Poder Público;Titular
Criança e adolescente;Gilce Maria de Almeida Sales Cruz;Poder Público;Suplente
Criança e adolescente;Rogério Fernandes Ribeiro Gomes;Poder Público;Titular
Criança e adolescente;Marcelo de Carvalho Barreto;Poder Público;Suplente
Criança e adolescente;Bianca da Silva Firmino Ferreira;Poder Público;Titular
Criança e adolescente;Beatriz Mateus Pereira;Poder Público;Suplente
Criança e adolescente;Luzia Medeiros da Silva;Sociedade civil;Titular
Criança e adolescente;Anderson Esteves da Silva;Sociedade civil;Suplente
Criança e adolescente;Juliana Escocard Lopes Terra;Sociedade civil;Titular
Criança e adolescente;Luciana Custódio Soares;Sociedade civil;Suplente
Criança e adolescente;Renato Gonçalves dos Santos;Sociedade civil;titular
Criança e adolescente;Merilane Lopes Barreto;Sociedade civil;Suplente
Criança e adolescente;Jerusa Raquel dos Santos Ferreira Guedes Farias;Sociedade civil;titular
Criança e adolescente;Fernanda Azeredo Caldas Coutinho;Sociedade civil;Suplente
Criança e adolescente;Fernando César Gomes ;Sociedade civil;titular
Criança e adolescente;Carlos Lima Alves;Sociedade civil;Suplente
Criança e adolescente;Paulo Santos Freitas Júnior;Sociedade civil;titular
Criança e adolescente;Evelyn Rebouças de Gouvêa;Sociedade civil;Suplente
Criança e adolescente;Elson da Silva Leal;Sociedade civil;Titular
Cultura;Sarah Cristina Costa Pereira;Poder Público;Titular
Cultura;Karina Barra Gomes;Poder Público;Suplente
Cultura;Hans Muylaert;Poder Público;Titular
Cultura;Maria Aparecida Praxedes da Penha;Poder Público;Suplente
Cultura;Maria Cristina Torres Lima;Poder Público;Titular
Cultura;Fernando Leite Fernandes;Poder Público;Suplente
Cultura;Maurício de Moura Caldas Xexéo;Poder Público;Titular
Cultura;Vera Lúcia Carvalho de Oliveira;Poder Público;Suplente
Cultura;Carlos Roberto Bastos Freitas;Poder Público;Titular
Cultura;Rafaela Machado Ribeiro;Poder Público;Suplente
Cultura;Pedro Lincoln Bastos Bessa;Poder Público;Titular
Cultura;Rodrigo Espinosa Andrade;Poder Público;Suplente
Cultura;Rogério Soares de Siqueira;Poder Público;Titular
Cultura;Simonne Pedro Vieira;Poder Público;Suplente
Cultura;Graziela Escocard Ribeiro;Poder Público;Titular
Cultura;Denise Gonçalves Diniz;Poder Público;Suplente
Cultura;Eleonora Peçanha Paes;Poder Público;Titular
Cultura;Ramon Terra de Siqueira;Poder Público;Suplente
Cultura;Cláudia Siqueira Alvarenga Ferreira;Poder Público;Titular
Cultura;Izabele Sardinha Costa;Poder Público;Suplente
Cultura;José Carlos Gonçalves Monteiro;Poder Público;Titular
Cultura;Cláudio Nogueira Andrade Filho;Poder Público;Suplente
Cultura;Paulo Roberto Gonçalves;Sociedade civil;Titular
Cultura;Takna Mendonça Formaggini;Sociedade civil;Suplente
