conselho ;conselheiro;setor;posicao;entidade
Direitos da Mulher;Tatiana Botelho Sampaio;Poder Público;Titular;Superintendência de justiça e assistência judiciária
Direitos da Mulher;Rosana Rosa Ribeiro;Poder Público;Suplente;Superintendência de justiça e assistência judiciária
Direitos da Mulher;Simone Pedro Vieira;Poder Público;Titular;Superintendência de Igualdade Racial
Direitos da Mulher;Flávia Barreto Sales;Poder Público;Titular;Instituto Municipal de Trânsito e Transportes - IMTT
Direitos da Mulher;Letícia de Almeida Neto;Poder Público;Suplente;Instituto Municipal de Trânsito e Transportes - IMTT
Direitos da Mulher;Juliana Gonçalves Manhães dos Reis;Poder Público;Titular;Superintendência Municipal de Agricultura e pecuária 
Direitos da Mulher;Cinara Souza de Oliveira Santos;Poder Público;Suplente;Superintendência Municipal de Agricultura e pecuária 
Direitos da Mulher;Josiane Lima Borges Viana;Poder Público;Titular;Legislativo municipal
Direitos da Mulher;Joilza Rangel Abreu;Poder Público;Suplente;Legislativo municipal
Inclusão da Pessoa com Deficiencia;Renato Barbosa Vieira;Poder Público;Titular;Secretaria Municipal de Desenvolvimento Humano e Social
Inclusão da Pessoa com Deficiencia;Cristiane Cardoso de Oliveira Ressiguier;Poder Público; Suplente;Secretaria Municipal de Desenvolvimento Humano e Social
Inclusão da Pessoa com Deficiencia;Paulo Roberto Pereira Gomes;Poder Público;Titular;Fundação Municipal da Infância e da Juventude
Inclusão da Pessoa com Deficiencia;João Luiz de Mello e Silva;Poder Público; Suplente;Fundação Municipal da Infância e da Juventude
Inclusão da Pessoa com Deficiencia;Fábio Gonçalves Coboski;Poder Público;Titular;Fundação Municipal do Esporte
Inclusão da Pessoa com Deficiencia;Nayne Tamy Barreto Neves;Poder Público; Suplente;Fundação Municipal do Esporte
Inclusão da Pessoa com Deficiencia;Ana Paula Pessanha Cordeiro;Poder Público;Titular;Secretaria Municipal de Saúde
Inclusão da Pessoa com Deficiencia;Sandro César Said Mucci;Poder Público; Suplente;Secretaria Municipal de Saúde
Inclusão da Pessoa com Deficiencia;Gilce Maria de Almeida Sales Cruz;Poder Público;Titular;Secretaria Municipal da Transparência e Controle
Inclusão da Pessoa com Deficiencia;Maria Angélica Rocha Gama;Poder Público; Suplente;Secretaria Municipal da Transparência e Controle
Inclusão da Pessoa com Deficiencia;Alexis Wallace Sardinha;Poder Público;Titular;Superintendência de Justiça e Assistência Judiciária
Inclusão da Pessoa com Deficiencia;Antônio Julião Pinheiro Neto;Poder Público; Suplente;Superintendência de Justiça e Assistência Judiciária
Inclusão da Pessoa com Deficiencia;Wandick Lobo Neto;Poder Público;Titular;Empresa Municipal de Habitação – EMHAB
