ID;EffSize;Efficiency;Constraint;Hierarchy;Indirects
Diovane Rodrigues Gonçalves;4,276316166;0,112534642;0,089318365;2,76E-05;0,842261195
Doménico De Souza Ribeiro;6,096775055;0,19667016;0,101185098;0,000144656;0,7708655
Douglas Leonard Queiroz Pessanha;2,181818008;0,198347092;0,236178115;0,000593878;0,611247659
Débora De Paula Souza Inácio;4,276316166;0,112534642;0,089318365;2,76E-05;0,842261195
Ederton Quemel Rossini;4,276316166;0,112534642;0,089318365;2,76E-05;0,842261195
Edgard Andrade Corrêa;1,987337947;0,025156176;0,04839506;1,97E-07;0,955302
Edilbert Pellegrini Nahn Júnior;1,987337947;0,025156176;0,04839506;1,97E-07;0,955302
Edimilson Mota;2,181818008;0,198347092;0,246316448;0,000581984;0,645479143
Edison Pessanha Braga;4,160000324;0,166400015;0,127645135;9,01E-05;0,786244094
Edmar Cruz Teixeira;1,987337947;0,025156176;0,04839506;1,97E-07;0,955302
Edmilson Antônio Mota;6,17777729;0,137283951;0,078397207;2,70E-05;0,878215671
Edná Sales;4,709678173;0,151925102;0,104965791;4,88E-05;0,803792596
Edson Cordeiro Pacheco;2,897435904;0,074293226;0,090497293;1,11E-05;0,878649533
Edson Moreira Dos Reis;4,160000324;0,166400015;0,127645135;9,01E-05;0,786244094
Eduardo Felipe Nobre Mendonça;7,294573784;0,169641256;0,080023922;0,000209807;0,854639351
Eduardo Pozitivo;2,181818008;0,198347092;0,246316448;0,000581984;0,645479143
Eduardo Robson Guedes De Assis;8,771367073;0,224906862;0,077565707;0,000476367;0,738520682
Elaine Fontes Leão;1,45454514;0,132231385;0,266424268;0,000300258;0,71161288
Elana Martins Rodrigues;2,181818008;0,198347092;0,236178115;0,000593878;0,611247659
Elber Salve;7,294573784;0,169641256;0,080023922;0,000209807;0,854639351
Elenilson Do Espírito Santo;14,15833187;0,488218367;0,098262608;0,022691846;0,661645472
Eleonora Peçanha Paes;6,17777729;0,137283951;0,078397207;2,70E-05;0,878215671
Eliana Da Silva Goulart;3,899999142;0,097499974;0,085676894;9,86E-05;0,851069093
Eliana Monteiro Feres;4,276316166;0,112534642;0,089318365;2,76E-05;0,842261195
Eliane Nogueira Gomes;4,276316166;0,112534642;0,089318365;2,76E-05;0,842261195
Eliedma Pires Dutra Da Conceição;8,771367073;0,224906862;0,077565707;0,000476367;0,738520682
Eliete Maria Alves Do Rosário;1,987337947;0,025156176;0,04839506;1,97E-07;0,955302
Elis De Araújo Miranda;6,17777729;0,137283951;0,078397207;2,70E-05;0,878215671
Elisa Lima Mayerhoffer Peralva;1,987337947;0,025156176;0,04839506;1,97E-07;0,955302
Elisa Mayerhoffer Peralva;3,899999142;0,097499974;0,085676894;9,86E-05;0,851069093
Elizabeth Neves Fernandes Miquilito;1,987337947;0,025156176;0,04839506;1,97E-07;0,955302
Elma Coelho Nunes Sizenando;4,276316166;0,112534642;0,089318365;2,76E-05;0,842261195
Elson Da Silva Leal;3,785713911;0,135204062;0,119379282;3,94E-05;0,82822299
Elzana Da Silva Pereira;6,17777729;0,137283951;0,078397207;2,70E-05;0,878215671
Enos Gama Junior;2,181818008;0,198347092;0,246316448;0,000581984;0,645479143
Eraldo Mothé Barcelar Da Silva;6,096775055;0,19667016;0,101185098;0,000144656;0,7708655
Ester Fabiana Cordeiro Matias;1,987337947;0,025156176;0,04839506;1,97E-07;0,955302
Estevão Souza De Azevedo;1,987337947;0,025156176;0,04839506;1,97E-07;0,955302
Evandro Guimarães Ferraz;3,999999285;0,266666621;0,158104762;0,00035384;0,539621711
Evelyn Rebouças De Gouvêa;3,785713911;0,135204062;0,119379282;3,94E-05;0,82822299
Everaldo Reis Tavares Rangel;2,181818008;0,198347092;0,246316448;0,000581984;0,645479143
Fabiana Campista Angelo;2,769230366;0,213017717;0,191458285;0,000888341;0,576747
Fabrício Da Silva Simões;6,17777729;0,137283951;0,078397207;2,70E-05;0,878215671
Fabíola Caldeira Ferreira;14,15833187;0,488218367;0,098262608;0,022691846;0,661645472
Fabíola Teixeira Azevedo;14,15833187;0,488218367;0,098262608;0,022691846;0,661645472
Fernanda Azeredo Caldas Coutinho;3,785713911;0,135204062;0,119379282;3,94E-05;0,82822299
Fernanda Gomes De Vasconcellos Sales;1,987337947;0,025156176;0,04839506;1,97E-07;0,955302
Fernanda Gonçalves Fernandes;4,709678173;0,151925102;0,104965791;4,88E-05;0,803792596
Fernando Antônio Leite Cabral Loureiro;44,60281372;0,579257309;0,042731799;0,000738947;0,812473357
Fernando César Gomes;3,785713911;0,135204062;0,119379282;3,94E-05;0,82822299
Fernando Leite Fernandes;6,17777729;0,137283951;0,078397207;2,70E-05;0,878215671
Fernando Luiz Cavalcanti Loureiro;4,160000324;0,166400015;0,127645135;9,01E-05;0,786244094
Filipe Godoy Azeredo;4,709678173;0,151925102;0,104965791;4,88E-05;0,803792596
Flávia Barreto Sales;3,899999142;0,097499974;0,085676894;9,86E-05;0,851069093
Flávio Persilva Hoelzle;1,987337947;0,025156176;0,04839506;1,97E-07;0,955302
Francielli Moreira E Silva Acácio;1,987337947;0,025156176;0,04839506;1,97E-07;0,955302
Francione De França Fonseca;5,241379738;0,180737227;0,108379938;0,000347494;0,772342741
Francisco Carlos Faria Bernardino;5,241379738;0,180737227;0,108379938;0,000347494;0,772342741
Francisco De Assis Do Nascimento;39,44117737;0,597593606;0,050043155;0,014610427;0,7940557
Francisco Eduardo Freitas Ribeiro Dos Santos Filho;4,160000324;0,166400015;0,127645135;9,01E-05;0,786244094
Francisco Eduardo Leal;30,45833206;0,553787827;0,060779944;0,010654509;0,812666893
Frederico Rangel Paes;7,294573784;0,169641256;0,080023922;0,000209807;0,854639351
Fábio De Azevedo Almeida;1,45454514;0,132231385;0,266424268;0,000300258;0,71161288
Fábio Gomes De Freitas Bastos;3,785713911;0,135204062;0,119379282;3,94E-05;0,82822299
Fábio Gonçalves Coboski;2,897435904;0,074293226;0,090497293;1,11E-05;0,878649533
Fábio Gustavo Viana Siqueira;5,241379738;0,180737227;0,108379938;0,000347494;0,772342741
Gabriel Henrique Barbosa Carvalho;3,333333254;0,158730149;0,155001491;0,000430841;0,803584099
Gabrielly Monteiro Manhães;2,897435904;0,074293226;0,090497293;1,11E-05;0,878649533
Gedison Cesati Canal;48,0215683;0,600269616;0,045797516;0,027715527;0,865382254
Gelson Sebastião;14,15833187;0,488218367;0,098262608;0,022691846;0,661645472
George Mendes Marinho;6,096775055;0,19667016;0,101185098;0,000144656;0,7708655
Geovana Gomes Neves;2,897435904;0,074293226;0,090497293;1,11E-05;0,878649533
Geovana Oliveira Almeida;3,333333254;0,158730149;0,155001491;0,000430841;0,803584099
Geovani Laurindo Filho;4,160000324;0,166400015;0,127645135;9,01E-05;0,786244094
Geraldo Augusto Pinto Venâncio;1,987337947;0,025156176;0,04839506;1,97E-07;0,955302
Geraldo Márcio Timóteo;14,15833187;0,488218367;0,098262608;0,022691846;0,661645472
Gerson De Souza Gomes;2,181818008;0,198347092;0,236178115;0,000593878;0,611247659
Gerson Ferreira Maciel;1,987337947;0,025156176;0,04839506;1,97E-07;0,955302
Gil Roberto Afonso De Menezes;7,294573784;0,169641256;0,080023922;0,000209807;0,854639351
Gilberto Firmino Coutinho Junior;8,771367073;0,224906862;0,077565707;0,000476367;0,738520682
Gilberto Soares Dos Reis;7,294573784;0,169641256;0,080023922;0,000209807;0,854639351
Gilce Maria De Almeida Sales Cruz;33,35074615;0,50531435;0,054820832;0,008463035;0,888635755
Gilda Maria Gomes Peixoto;4,709678173;0,151925102;0,104965791;4,88E-05;0,803792596
Gina Cláudia Pereira Chácar Rangel;1,987337947;0,025156176;0,04839506;1,97E-07;0,955302
Giovanni Lhamas Coelho;1,987337947;0,025156176;0,04839506;1,97E-07;0,955302
Giselle Da Silva Escocard;3,899999142;0,097499974;0,085676894;9,86E-05;0,851069093
Gisely Nunes Moço Barbosa;27,73170853;0,693292677;0,073561914;0,015462584;0,695134044
Graciete Santana Nogueira Nunes;21,23000145;0,461521745;0,080840811;0,039739825;0,866010606
Graziela Escocard Ribeiro;44,93948364;0,548042476;0,04266692;0,012490394;0,849305153
Guilherme Manhães Da Silva;3,333333254;0,158730149;0,155001491;0,000430841;0,803584099
Guilherme Nogueira De Aguiar;6,096775055;0,19667016;0,101185098;0,000144656;0,7708655
Gutielle Carvalhal Botelho Bustilho Faria;1,987337947;0,025156176;0,04839506;1,97E-07;0,955302
Hans Muylaert;51,64751053;0,614851296;0,042673491;0,017001649;0,863884628
